,2018-2019,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2019-2020,2020-2021,2021-2022
0,Chelsea,Fiorentina,Fiorentina,Fiorentina,Chelsea,Chelsea,Chelsea,Chelsea,Chelsea
1,30.0,15.0,20.0,8.0,23.778,18.0,17.0,33.0,25.0
2,"€114,353.00","€16,058.00","€16,058.00","€57,176.00","€57,176.00","€114,353.00","€114,353.00","€114,353.00","€120,192.00"
3,31,16,22,31,31,33,18,13,28
4,2,,1,3,6,7,4,2,4
5,4,1,3,3,3,2,2,,4
6,1380,,1681,782,449,408,357,480,542
7,,,,,,,,,
8,28,22,19,30,19,30,18,13,22
9,14,6,8,12,15,14,6,6,10
10,100%,100%,86%,84%,97%,100%,83%,85%,89%
11,1,,17,5,4,1,12,11,9
12,82%,84%,58%,82%,89%,87%,47%,34%,74%
13,6,5,4,8,2,6,4,2,8
14,,1,,,,,,,
15,58%,44%,45%,42%,84%,55%,72%,62%,43%
16,23%,19%,27%,29%,6%,21%,6%,23%,36%
17,19%,38%,27%,29%,10%,24%,22%,15%,21%
