,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2021-2022
0,Real Madrid,Juventus,Juventus,Real Madrid,Chelsea,Atletico Madrid,Atletico Madrid,Juventus
1,35.0,29.0,18.0,33.0,18.0,20.0,22.0,20.0
2,"€80,731.00","€194,400.00","€194,400.00","€189,365.00","€188,462.00","€123,269.00","€123,269.00","€188,462.00"
3,23,29,34,26,31,15,34,35
4,8,8,7,15,11,6,12,9
5,,3,7,4,6,1,2,7
6,72,167,209,89,187,181,175,256
7,,,,,,,,
8,6,11,10,18,19,13,14,20
9,9,14,21,7,13,8,15,12
10,13%,38%,47%,54%,77%,87%,74%,74%
11,20,24,18,20,7,3,9,10
12,61%,76%,89%,68%,82%,88%,89%,92%
13,1,5,6,8,7,5,5,4
14,,1,,,,,1,
15,65%,72%,82%,85%,58%,60%,47%,51%
16,17%,17%,9%,15%,19%,7%,44%,29%
17,17%,10%,9%,0,23%,33%,9%,20%
