,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,15.0,5.0,9.0,17.0,17.0,23.0,7.0,26.0,18.0
2,26769,0,17577,22750,24962,20,106436,106436,80192
3,15,22,21,32,30,33,31,9,21
4,1,1,,1,3,4,11,,
5,1,,,3,13,6,8,2,4
6,1177,1711,,2854,880,729,230,,
7,,,,,,,,,
8,12,16,19,19,14,20,18,11,26
9,6,9,8,17,18,19,17,2,6
10,87,86,86,100,100,100,90,89,86
11,2,4,17,1,,,3,23,11
12,88,65,58,94,88,97,91,26,55
13,1,3,6,5,2,4,8,,1
14,,,1,1,,,2,,
15,53,82,38,63,83,79,81,78,43
16,27,9,24,31,13,12,10,0,29
17,20,9,38,6,3,9,10,22,29
