,2020-2021,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2021-2022
0,PSG,Levante,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid,PSG,PSG
1,24.0,13.0,29.0,33.0,33.0,32.0,19.0,31.0,19.0
2,"GROSS P/W
(IN EUR)","€62,346.00","€75,192.00","€77,827.00","€165,000.00","€314,615.00","€314,615.00","€314,615.00","€314,615.00"
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,18,39,3,28,31,31,8,18,18
8,15,16,3,13,5,7,4,11,8
9,2520,3249,540,3060,2430,2430,900,1890,1857
10,1,,32,,2,2,24,2,11
11,76%,97%,16%,89%,71%,71%,26%,91%,55%
12,,4,,,2,1,1,,
13,,1,,,,,,,1
14,72%,32%,100%,74%,74%,59%,60%,81%,62%
15,10%,32%,0,18%,15%,26%,20%,10%,29%
16,17%,35%,0,9%,11%,15%,20%,10%,10%
17,12,,2,11,14,14,4,9,3
