,2019-2020,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2020-2021,2021-2022
0,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
1,31.0,25.0,21.0,24.0,20.0,19.0,19.0,24.0,19.0
2,"€276,923.00","€73,250.00","€174,019.00","€136,692.00","€137,981.00","€276,923.00","€276,923.00","GROSS P/W
(IN EUR)","€276,923.00"
3,20,29,32,18,28,22,26,21,24
4,,,2,,3,,,,2
5,5,4,8,3,5,3,2,2,1
6,,,1227,,716,,,,970
7,,,,1,,,,,1
8,15,14,25,7,16,11,18,15,22
9,11,15,11,11,18,11,13,9,9
10,75%,79%,88%,61%,89%,91%,88%,76%,96%
11,6,6,4,7,4,3,5,5,1
12,74%,76%,84%,47%,74%,58%,68%,55%,63%
13,5,10,12,2,6,9,6,7,12
14,,,,,,1,,,
15,85%,69%,56%,83%,75%,82%,77%,62%,54%
16,10%,28%,34%,17%,14%,9%,15%,14%,29%
17,5%,3%,9%,0,11%,9%,8%,24%,17%
