,2021-2022,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
1,4.0,13.3,13.3,13.3,4.0,4.0,4.0,4.0,4.0,4.0
2,22288,22288,21423,34096,35250,35615,35577,35577,35577,35577
3,37,35,35,35,37,37,37,36,31,37
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,1,1,,,,
8,63,49,48,53,38,58,58,56,55,56
9,3,7,8,8,10,7,10,12,5,7
10,100,100,100,100,100,100,100,100,100,100
11,,,,1,,,1,1,2,
12,97,92,92,95,97,97,97,95,82,97
13,2,2,3,2,3,1,2,2,1,1
14,,,,1,1,,,1,,
15,35,26,37,31,41,35,30,25,39,46
16,30,23,14,31,35,19,27,42,16,27
17,35,51,49,37,24,46,43,33,45,27
